kind,offset,length,width_px,height_px,file,note
graphic,0x04b18f,38,16,14,graphics/gfx_000967_16x14_1bpp.png,run after 0x000937
graphic-header,0x04b18f,38,16,14,headers/gfx_000967_16x14_1bpp.h,run after 0x000937
graphic,0x04b1b5,34,16,12,graphics/gfx_00098d_16x12_1bpp.png,direct: DAT_00008e4c
graphic-header,0x04b1b5,34,16,12,headers/gfx_00098d_16x12_1bpp.h,direct: DAT_00008e4c
graphic,0x04b1d7,36,16,13,graphics/gfx_0009af_16x13_1bpp.png,direct: DAT_00008e60
graphic-header,0x04b1d7,36,16,13,headers/gfx_0009af_16x13_1bpp.h,direct: DAT_00008e60
graphic,0x04b1fb,205,40,39,graphics/gfx_0009d3_40x39_1bpp.png,direct: DAT_00008cf8
graphic-header,0x04b1fb,205,40,39,headers/gfx_0009d3_40x39_1bpp.h,direct: DAT_00008cf8
graphic,0x04b2c8,50,16,20,graphics/gfx_000aa0_16x20_1bpp.png,run after 0x0009d3
graphic-header,0x04b2c8,50,16,20,headers/gfx_000aa0_16x20_1bpp.h,run after 0x0009d3
graphic,0x04b2fa,70,24,20,graphics/gfx_000ad2_24x20_1bpp.png,run after 0x0009d3
graphic-header,0x04b2fa,70,24,20,headers/gfx_000ad2_24x20_1bpp.h,run after 0x0009d3
graphic,0x04b340,142,32,33,graphics/gfx_000b18_32x33_1bpp.png,run after 0x0009d3
graphic-header,0x04b340,142,32,33,headers/gfx_000b18_32x33_1bpp.h,run after 0x0009d3
graphic,0x04b3ce,142,32,33,graphics/gfx_000ba6_32x33_1bpp.png,run after 0x0009d3
graphic-header,0x04b3ce,142,32,33,headers/gfx_000ba6_32x33_1bpp.h,run after 0x0009d3
graphic,0x04b45c,146,32,34,graphics/gfx_000c34_32x34_1bpp.png,run after 0x0009d3
graphic-header,0x04b45c,146,32,34,headers/gfx_000c34_32x34_1bpp.h,run after 0x0009d3
graphic,0x04b4ee,64,24,18,graphics/gfx_000cc6_24x18_1bpp.png,run after 0x0009d3
graphic-header,0x04b4ee,64,24,18,headers/gfx_000cc6_24x18_1bpp.h,run after 0x0009d3
graphic,0x04b52e,70,24,20,graphics/gfx_000d06_24x20_1bpp.png,run after 0x0009d3
graphic-header,0x04b52e,70,24,20,headers/gfx_000d06_24x20_1bpp.h,run after 0x0009d3
graphic,0x04b574,175,40,33,graphics/gfx_000d4c_40x33_1bpp.png,direct: DAT_00009150
graphic-header,0x04b574,175,40,33,headers/gfx_000d4c_40x33_1bpp.h,direct: DAT_00009150
graphic,0x04b623,70,24,20,graphics/gfx_000dfb_24x20_1bpp.png,run after 0x000d4c
graphic-header,0x04b623,70,24,20,headers/gfx_000dfb_24x20_1bpp.h,run after 0x000d4c
graphic,0x04b669,58,24,16,graphics/gfx_000e41_24x16_1bpp.png,run after 0x000d4c
graphic-header,0x04b669,58,24,16,headers/gfx_000e41_24x16_1bpp.h,run after 0x000d4c
graphic,0x04b6a3,58,24,16,graphics/gfx_000e7b_24x16_1bpp.png,run after 0x000d4c
graphic-header,0x04b6a3,58,24,16,headers/gfx_000e7b_24x16_1bpp.h,run after 0x000d4c
graphic,0x04b6dd,70,24,20,graphics/gfx_000eb5_24x20_1bpp.png,run after 0x000d4c
graphic-header,0x04b6dd,70,24,20,headers/gfx_000eb5_24x20_1bpp.h,run after 0x000d4c
graphic,0x04b723,18,8,8,graphics/gfx_000efb_8x8_1bpp.png,run after 0x000d4c
graphic-header,0x04b723,18,8,8,headers/gfx_000efb_8x8_1bpp.h,run after 0x000d4c
